Id. RCE,NAF,Raison sociale,Enseigne,Tranche effectif (INSEE),Effectif ACOSS (ou recueilli),Adresse principale,Code postal,Commune acheminement postal
19039221,7010Z,AUVERGNE PIZZA,,3 A 5 SALARIES,3,1 RUE VOLTAIRE,63170,AUBIERE
8075679,7010Z,AUX HALLES D EVIAN,AUX HALLES D'EVIAN,1 OU 2 SALARIES,0,378 ROUTE DE GRANDE RIVE,74500,NEUVECELLE
19582227,7010Z,HUTTOPIA SUD ARDECHE,,SANS SALARIE,0,RUE DE CHAPOLY,69290,ST GENIS LES OLLIERES
18630423,7010Z,SODIS,,10 A 19 SALARIES,10,61 PLACE DU SNOW,74110,MORZINE
25166262,7010Z,AVP,,SANS SALARIE,0,45 RUE DU PRIOU,38180,SEYSSINS
22822607,7010Z,LHR GROUPE,,6 A 9 SALARIES,6,2 RUE ANDRE DELORME,42300,ROANNE
26671749,7010Z,BAILA PIZZA,,SANS SALARIE,0,2 RUE ANDRE DELORME,42300,ROANNE
24613509,7010Z,SAS LES MARAIS,LES MARAIS,1 OU 2 SALARIES,1,60 ROUTE DE VAULX,69150,DECINES CHARPIEU
26378936,7010Z,AZUR AMBULANCES 38,,3 A 5 SALARIES,3,19 RUE BARNAVE,38400,ST MARTIN D HERES
29579723,7010Z,LA ROSSA,,1 OU 2 SALARIES,0,41 RUE GUTENBERG,15000,AURILLAC
18932508,7010Z,CNX CSA,,3 A 5 SALARIES,3,23 RUE DES CORDIERS,38260,LA COTE ST ANDRE
28967757,7010Z,B.ONE,,SANS SALARIE,0,15 CHEMIN D YVOURS,69310,PIERRE BENITE
26030542,7010Z,BABI BOUILLES,,3 A 5 SALARIES,3,62 RUE DE LA REPUBLIQUE,38230,PONT DE CHERUY
29710864,7010Z,SARL LES TOUPTY,,3 A 5 SALARIES,0,121 ROUTE DE VIUZ EN SALLAZ,74250,BOGEVE
12675481,7010Z,JCP,LE CONTINENTAL,1 OU 2 SALARIES,0,355 ROUTE DE GALETTI,1300,MURS ET GELIGNIEUX
19778570,7010Z,LAUNA,CHEZ NANNON,SANS SALARIE,0,424 ROUTE DE LA PLAGNE,74110,MORZINE
18614626,7010Z,TAXI PHILIP,,1 OU 2 SALARIES,1,6 IMPASSE MONTPLAISIR,26000,VALENCE
689614,7010Z,TOP CLEAN PACKAGING GROUP,TOP CLEAN PACKAGING GROUP,1 OU 2 SALARIES,1,ZONE INDUSTRIELLE LES TORRENTS,63920,PESCHADOIRES
25118654,7010Z,MUZY RENEAUT,AUBERGE DES 3 DEPARTEMENTS,1 OU 2 SALARIES,1,CORDON,1300,BREGNIER CORDON
15211577,7010Z,LA BOUDOUILLE,,3 A 5 SALARIES,3,950 ZONE INDUSTRIELLE DE GLORIETTE,38160,CHATTE
19132870,7010Z,PATA MONTELO,,6 A 9 SALARIES,6,179 ROUTE DE MARSEILLE,26200,MONTELIMAR
20891600,7010Z,CARPOSTAL FRANCE,TECHNOLAND,50 A 99 SALARIES,50,8 ALLEE DU PIEMONT,69800,ST PRIEST
24885721,7010Z,STUDIO 113,LE PARC SAINT PAUL,1 OU 2 SALARIES,1,le parc saint paul,26750,ST PAUL LES ROMANS
26728465,7010Z,BEAUTY WORLD,,SANS SALARIE,0,24 PLACE JEAN EPINAT,3200,VICHY
27757182,7010Z,LE MARCHE DES 4 SAISONS,,SANS SALARIE,0,RUE DE LA GARE,73610,LEPIN LE LAC
26721375,7010Z,CGD PLASTIQUES -ETUDES ET REALISATION,,1 OU 2 SALARIES,1,1 RUE DE MAYENCIN,38610,GIERES
29812774,7010Z,LA FRANCE QUI ROULE,,SANS SALARIE,0,17 AVENUE DU BAS CHABLAIS,74140,DOUVAINE
10723120,7010Z,REVOLTA BLAUDEAU ENTREPRISES,,6 A 9 SALARIES,6,454 RUE DE LA LEYSSE,73000,CHAMBERY
21288076,7010Z,LE PRADEL DE SERRES,,SANS SALARIE,0,LE VILLAGE,7170,MIRABEL
30743723,7010Z,COLCHIC,,SANS SALARIE,0,283 RUE DE CREQUI,69007,LYON
28985921,7010Z,CBS,,SANS SALARIE,0,AVENUE MARECHAL LECLERC,7700,BOURG ST ANDEOL
